Run,BioSample,BioProject,Organism,LibraryLayout,GeoLoc_Continent,GeoLoc_Country,GeoLoc_Region,GeoLoc_Reef,Life_Stage,Treatment,Time_Point,Genotype
SRR13221506,SAMN17012924,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_fall_C,42703,0
SRR13221507,SAMN17012923,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_fall_C,42703,0
SRR13221508,SAMN17012922,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_fall_C,42703,0
SRR13221509,SAMN17012921,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_fall_C,42703,0
SRR13221510,SAMN17012920,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_fall_C,42703,0
SRR13221511,SAMN17012919,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_fall_C,42703,0
SRR13221512,SAMN17012838,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_Winter_A,42422,0
SRR13221513,SAMN17012918,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_fall_C,42703,0
SRR13221514,SAMN17012917,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_fall_C,42703,0
SRR13221515,SAMN17012916,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_fall_C,42703,0
SRR13221516,SAMN17012915,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_fall_C,42703,0
SRR13221517,SAMN17012914,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_fall_C,42703,0
SRR13221518,SAMN17012913,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_fall_C,42703,0
SRR13221519,SAMN17012912,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_fall_B,42688,0
SRR13221520,SAMN17012911,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_fall_B,42688,0
SRR13221521,SAMN17012910,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_fall_B,42688,0
SRR13221522,SAMN17012909,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_fall_B,42688,0
SRR13221523,SAMN17012837,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_Winter_A,42422,0
SRR13221524,SAMN17012908,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_fall_B,42688,0
SRR13221525,SAMN17012907,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_fall_B,42688,0
SRR13221526,SAMN17012906,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_fall_B,42688,0
SRR13221527,SAMN17012905,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_fall_B,42688,0
SRR13221528,SAMN17012904,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_fall_B,42688,0
SRR13221529,SAMN17012903,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_fall_B,42688,0
SRR13221530,SAMN17012902,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_fall_B,42688,0
SRR13221531,SAMN17012901,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_fall_B,42688,0
SRR13221532,SAMN17012900,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_summer_B,42600,0
SRR13221533,SAMN17012899,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_summer_B,42600,0
SRR13221534,SAMN17012836,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_Winter_A,42422,0
SRR13221535,SAMN17012898,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_summer_B,42600,0
SRR13221536,SAMN17012897,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_summer_B,42600,0
SRR13221537,SAMN17012896,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_summer_B,42600,0
SRR13221538,SAMN17012895,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_summer_B,42600,0
SRR13221539,SAMN17012894,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_summer_B,42600,0
SRR13221540,SAMN17012893,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_summer_B,42600,0
SRR13221541,SAMN17012892,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_summer_B,42600,0
SRR13221542,SAMN17012891,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_summer_B,42600,0
SRR13221543,SAMN17012890,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_summer_B,42600,0
SRR13221544,SAMN17012889,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_summer_B,42600,0
SRR13221545,SAMN17012835,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,full_moon_Winter_A,42422,0
SRR13221546,SAMN17012888,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_summer_B,42584,0
SRR13221547,SAMN17012887,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_summer_B,42584,0
SRR13221548,SAMN17012886,PRJNA682854,Acropora eurystoma,PAIRED,Asia,Israel,Gulf of Eilat,Eilat,Adult,new_moon_summer_B,42584,0
